source_rank,company_name,domain,api_name,active_job_count_total,active_job_count_sg,roles_by_function,hiring_velocity_90_days,job_locations,posting_first_seen_date,source_urls,sample_job_count,data_completeness_percent,raw_response_path
6,Sony Group Corporation,sony.com,Apollo Organization Job Postings API,170,0,engineering: 0; design: 0; it: 1; sales: 1; operations: 0; other: 23,25,Amsterdam; Barcelona; Hanover; London; Los Angeles; Malmoe; Manchester; Marion; Milan; Monticello; Mumbai; Nashville; New York; Northern Cambria; Sydney; Taguig; United States,2026-06-03,https://sonyglobal.wd1.myworkdayjobs.com/en-US/Sony_Europe_Careers/job/Hoofddorp/Channel-Marketing-Specialist_JR-119248; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Santa-Fe-CDMX-Mxico/Subgerente-Marketplace_JR-119242; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/New-York/Manager--Deal-Analysis_JR-119243-1; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/NA--Nashville-17th-Ave-375/Sr-Analyst--Royalty-Administration_JR-119239; https://www.linkedin.com/jobs/view/manager-ecommerce-at-sony-music-entertainment-4425875628; https://uk.linkedin.com/jobs/view/ecommerce-intern-merchandise-6-month-ftc-at-sony-music-entertainment-4425287333; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Bonifacio-Global-City/Product-Marketing-Officer_JR-119173; https://www.linkedin.com/jobs/view/4424595529/; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/New-York/Enterprise-Product-Lead_JR-119231; https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/Malm/Business-Development-Representative---Intern_JR-119230-1,25,100.00,raw/apollo/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,Apollo Organization Job Postings API,545,1,engineering: 6; design: 0; it: 0; sales: 5; operations: 3; other: 11,25,Bangkok; Bengaluru; Berlin; Casablanca; Dallas; La Rochelle; Los Angeles; Manchester; Mountain View; New York; San Jose; Singapore; Taylor; Vietnam; Zagreb,2026-06-09,https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/6-rue-Fructidor-Saint-Ouen-France/Alternance-Technico-Commercial-Sdentaire---Climatisation--H-F-_R117852?redirect=/Samsung_Careers/jobAlerts; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/645-Clyde-Avenue-Mountain-View-CA-USA/Senior-HR-Business-Partner--Ads-Product---Engineering_R117136-1; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/3655-N-1st-St-San-Jose-CA-USA/Micro-architect-Logic-Designer--Coherent-Interconnect_R117841; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/6100-Center-Dr-6th-FL-Los-Angeles-CA-USA/Senior-Sales-Manager--Growth_R117813-1; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/3900-N-Capital-of-Texas-Hwy-Austin-TX-USA/Performance-Architect_R117840; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/BITEXCO-Financial-Tower-Ho-Chi-Minh-Vietnam/HRBP-Manager_R117848; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/1530-FM-973-Taylor-TX-USA/Automation-Engineer---AMHS_R117834; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/Samsung-House-2000-Hillswood-Drive-Chertsey-United-Kingdom/Sales-Innovation-Director_R117583-2?redirect=/Samsung_Careers/jobAlerts; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/Mapletree-Business-City-Singapore-Singapore/Business-Development-Manager--Brand-Memory--Singapore---Malaysia-_R117820-1; https://sec.wd3.myworkdayjobs.com/en-US/Samsung_Careers/job/1530-FM-973-Taylor-TX-USA/Cleans--Equipment-Engineer---Nights_R117839,25,100.00,raw/apollo/data/samsung_electronics.json
8,SK Hynix,skhynix.com,Apollo Organization Job Postings API,9,0,engineering: 1; design: 7; it: 0; sales: 0; operations: 0; other: 1,9,Lafayette; South Korea,2025-08-18,https://www.linkedin.com/jobs/view/4425068234/; https://www.linkedin.com/jobs/view/4425060207/; https://www.linkedin.com/jobs/view/4425070223/; https://www.linkedin.com/jobs/view/4418226417/; https://www.linkedin.com/jobs/view/4418569132/; https://www.linkedin.com/jobs/view/4418554502/; https://www.linkedin.com/jobs/view/4418549781/; https://www.linkedin.com/jobs/view/4418550797/; https://www.linkedin.com/jobs/view/4287581770/,9,100.00,raw/apollo/data/sk_hynix.json
9,Infosys,infosys.com,Apollo Organization Job Postings API,1848,0,engineering: 6; design: 0; it: 4; sales: 0; operations: 1; other: 14,25,Ann Arbor; Atlanta; Berlin; Bucharest; Calgary; Charlotte; Dallas; Fair Lawn; Frankfurt; Indianapolis; La Rochelle; Lafayette; London; Los Angeles; Miami; Mississauga; San Francisco; Sydney; Toulouse,2026-06-12,https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149268BR; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149316BR; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149331BR; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149350BR; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149344BR; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149345BR; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149349BR; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149343BR; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149191BR; https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/149104BR,25,100.00,raw/apollo/data/infosys.json
10,BHP,bhp.com,Apollo Organization Job Postings API,198,0,engineering: 1; design: 0; it: 1; sales: 0; operations: 2; other: 21,25,Adelaide; Bowen; Brisbane; Melbourne; Muswellbrook; New Zealand; Olympic Dam; Perth; Port Hedland; Saskatoon; Sydney,2026-06-09,https://au.linkedin.com/jobs/view/material-handling-system-supervisor-mhs-underground-carrapateena-fifo-1-at-bhp-4424864132; https://au.linkedin.com/jobs/view/integrated-planner-training-performance-ffa-operations-services-at-bhp-4424857935; https://careers.bhp.com/job/Principal-Research-Engineer-Digital-Brisbane/1399275000; https://au.linkedin.com/jobs/view/operator-dispatch-mt-arthur-coal-nswec-at-bhp-4423635332; https://au.linkedin.com/jobs/view/copper-sa-indigenous-apprentice-program-2027-intake-at-bhp-4423638067; https://au.linkedin.com/jobs/view/copper-sa-apprentice-program-2027-intake-at-bhp-4423621496; https://au.linkedin.com/jobs/view/copper-sa-apprentice-program-2027-intake-at-bhp-4423630409; https://au.linkedin.com/jobs/view/copper-sa-apprentice-program-2027-intake-at-bhp-4423624525; https://careers.bhp.com/job/Specialist-Operational-Readiness%2C-Copper-South-Australia-Major-Projects-Adelaide/1398822900; https://careers.bhp.com/job/Operator-Dispatch-Mt-Arthur-Coal-NSWEC/1398799800,25,100.00,raw/apollo/data/bhp.json
1,DBS Group,dbs.com,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/united_overseas_bank.json
4,ST Engineering,stengg.com,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/samsung_electronics.json
8,SK Hynix,skhynix.com,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/sk_hynix.json
9,Infosys,infosys.com,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/infosys.json
10,BHP,bhp.com,PredictLeads Job Openings API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads_job_openings_api/data/bhp.json
1,DBS Group,dbs.com,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/united_overseas_bank.json
4,ST Engineering,stengg.com,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/samsung_electronics.json
8,SK Hynix,skhynix.com,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/sk_hynix.json
9,Infosys,infosys.com,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/infosys.json
10,BHP,bhp.com,LinkUp / Aura,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/linkup_aura/data/bhp.json
